Model,dataset,Morphology,Operation,Kernel Size,DPSGD,epsilon,synthetic_data,shadow_threshold
NestedUNet,UMNData,False,,,True,0.5,False,0.2568098627218679
NestedUNet,UMNData,True,open,3,True,0.1,False,0.2562644166104934
NestedUNet,UMNData,True,both,3,True,8.0,False,0.2571637592896694
NestedUNet,UMNData,True,open,3,True,0.1,False,0.2555709340993096
NestedUNet,UMNData,True,open,3,True,0.5,False,0.2561787421963796
NestedUNet,UMNData,False,,,True,0.5,False,0.256035589370407
NestedUNet,UMNData,False,,,True,8.0,False,0.2591905210699354
NestedUNet,UMNData,True,close,3,True,8.0,False,0.25891381088926013
NestedUNet,UMNData,True,both,3,True,0.5,False,0.2558364910738809
NestedUNet,UMNData,True,open,3,True,0.5,False,0.2595799470148167
NestedUNet,UMNData,True,both,3,True,0.5,False,0.2565979171199959
NestedUNet,UMNData,True,open,3,True,0.1,False,0.255984211418809
NestedUNet,UMNData,True,close,3,True,0.1,False,0.255315590806368
NestedUNet,UMNData,False,,,True,0.5,False,0.25692458037568744
NestedUNet,UMNData,True,close,3,True,8.0,False,0.25542326083704203
NestedUNet,UMNData,True,open,3,True,8.0,False,0.25556984606410277
NestedUNet,UMNData,True,close,3,True,0.5,False,0.25583644123638377
NestedUNet,UMNData,True,both,3,True,0.5,False,0.25662468686825085
NestedUNet,UMNData,False,,,False,,False,0.25570426042340383
NestedUNet,UMNData,True,both,3,True,0.1,False,0.256672948348422
NestedUNet,UMNData,True,open,3,True,8.0,False,0.2582309521546885
NestedUNet,UMNData,True,open,3,True,8.0,False,0.2554520774288338
NestedUNet,UMNData,True,close,3,True,0.5,False,0.2561713996805063
NestedUNet,UMNData,True,both,3,True,0.1,False,0.25623553828531953
NestedUNet,UMNData,True,both,3,True,0.5,False,0.2560844226043765
NestedUNet,UMNData,True,close,3,False,,False,0.2554798419235133
NestedUNet,UMNData,True,close,3,True,0.5,False,0.25702783315121625
NestedUNet,UMNData,True,open,3,True,8.0,False,0.25844453763561087
NestedUNet,UMNData,False,,,False,,False,0.25606029925226165
NestedUNet,UMNData,False,,,True,8.0,False,0.2555064268472816
NestedUNet,UMNData,True,both,3,True,0.1,False,0.25606544628864575
NestedUNet,UMNData,True,close,3,True,0.5,False,0.2559080038751875
NestedUNet,UMNData,True,both,3,True,8.0,False,0.255904191431879
