Model,Morphology,Operation,Kernel Size,DPSGD,epsilon,loss_mem,loss_non_mem,true_label
NestedUNet,True,close,3,False,,"[0.80970979 0.81979388 0.80693853 0.8373943  0.84311545 0.8126303
 0.80570674 0.88154507 0.82956815 0.81640756 0.81686389 0.82047939
 0.82256854 0.83897173 0.80411828 0.86923581 0.82141948 0.84914327
 0.81721288 0.80681294 0.85163903 0.80909956]","[0.8360517  0.82559705 0.86846161 0.84475505 0.8116076  0.84891129
 0.83246952 0.83400685 0.82311904 0.85831285 0.81547153 0.81001413
 0.81493348 0.8373211  0.81045127 0.80702782 0.83786654 0.86139882
 0.8184498  0.84954536 0.83260942 0.85308272]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,close,3,False,,"[0.77659923 0.77665436 0.78479683 0.7843743  0.77305007 0.77024412
 0.76615262 0.7810148  0.79148662 0.77894968 0.7961331  0.7814545
 0.77423126 0.78021771 0.77788985 0.78568673 0.77537751 0.78177035
 0.77745771 0.78869802 0.77769101 0.78355801]","[0.91653639 0.8794927  0.93269861 0.9113059  0.84911704 0.91546297
 0.91560113 0.86710143 0.85985929 0.94255739 0.84918076 0.82601082
 0.83636236 0.852247   0.8465488  0.85046601 0.86934489 0.93009418
 0.85937542 0.88670868 0.89978319 0.93881059]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,close,3,False,,"[0.8776812  0.84915423 0.84322643 0.85776436 0.83943647 0.83117777
 0.86098301 0.88926494 0.87974918 0.82850134 0.82319051 0.96479791
 0.82888633 0.85311866 0.8386606  0.85593522 0.89511722 0.94889748
 0.8308844  0.88918364 0.84774768 0.8544088 ]","[0.86067212 0.83997536 0.85993969 0.85438967 0.82590741 0.85456949
 0.83898246 0.88592148 0.82463598 0.8532232  0.82425123 0.82127464
 0.81365818 0.83846933 0.81390488 0.80977613 0.83638042 0.86047977
 0.82285941 0.83582568 0.85100883 0.85749513]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,True,200.0,"[0.9589709  0.9731251  1.108904   0.94620621 0.94604033 0.95263618
 0.96015263 0.9439702  0.99267387 0.92379224 0.97539926 0.94743168
 1.03016937 0.98165673 0.96132088 0.95331681 0.92470479 1.06567478
 0.98947489 1.02134931 1.05797648 1.0212065 ]","[0.93569332 0.93816561 0.97486329 0.9517625  0.93251979 0.96975511
 0.95093113 0.95422095 0.93166435 0.96778458 0.93158501 0.95391321
 0.92833292 0.92995721 0.93266201 0.93420851 0.96604872 0.98373574
 0.95173454 0.92144549 0.95901215 0.95878917]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,both,3,False,,"[0.80052507 0.79587835 0.8070367  0.7952193  0.79713959 0.78624392
 0.79455149 0.7924192  0.77529263 0.77959001 0.80806208 0.76871467
 0.79887235 0.80483067 0.79320365 0.77855635 0.77946359 0.79096425
 0.78125042 0.79142308 0.78670394 0.80368859]","[0.87525767 0.84896499 0.88361585 0.872585   0.82777476 0.88900322
 0.87929863 0.84442246 0.84257871 0.92733198 0.83985454 0.8381241
 0.83303636 0.83610046 0.82532799 0.82589644 0.85174704 0.89268273
 0.85178041 0.88497239 0.85786271 0.90959358]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,both,3,False,,"[0.80286115 0.88308918 0.83784789 0.80819076 0.81647009 0.81987977
 0.80766052 0.80181038 0.84751391 0.81753397 0.83694571 0.80651873
 0.84765923 0.84043807 0.81305856 0.82238519 0.79976785 0.82312417
 0.84863782 0.82050395 0.79724884 0.80673021]","[0.85249674 0.82609695 0.87610805 0.84067273 0.82394886 0.84536391
 0.84242606 0.82803905 0.82985759 0.86496007 0.81902862 0.81325918
 0.81653869 0.834786   0.8114332  0.80601454 0.84756041 0.84776145
 0.82971776 0.84715927 0.83437222 0.86400414]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,open,3,True,8.0,"[1.31037283 1.26683688 1.23780131 1.28555024 1.22253895 1.42389607
 1.28249323 1.23247552 1.35225821 1.28900123 1.2399888  1.24356031
 1.31625617 1.29254532 1.37990522 1.26146233 1.25380528 1.21364462
 1.45763206 1.23382318 1.353055   1.23517549]","[1.21293271 1.22790599 1.23876822 1.24409258 1.21932423 1.25317943
 1.21059513 1.18878925 1.20311081 1.23494601 1.22242737 1.24959159
 1.22227287 1.2027986  1.2246896  1.23987401 1.26860726 1.26596153
 1.25522435 1.17877483 1.24332356 1.24811518]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,both,3,False,,"[0.79637098 0.80026364 0.79549867 0.83711272 0.81168073 0.80935168
 0.83721858 0.79345763 0.79611349 0.78967083 0.80801833 0.81549096
 0.80178326 0.81321877 0.80108941 0.82237178 0.84210771 0.80944103
 0.79619426 0.80683446 0.80485815 0.83442855]","[0.85818595 0.8470341  0.87979573 0.86496496 0.83090627 0.87371093
 0.83386254 0.8564077  0.82828468 0.8825168  0.83390278 0.81597137
 0.81165588 0.83751738 0.81366676 0.817231   0.85419554 0.86570543
 0.83746505 0.86123466 0.85805833 0.88822532]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,both,3,False,,"[0.80418605 0.79445708 0.78682315 0.79549742 0.78770095 0.79408705
 0.78769737 0.79040927 0.80172503 0.7890439  0.79480773 0.78345776
 0.79327685 0.77625602 0.79625285 0.79162747 0.78296846 0.76859611
 0.80239099 0.78594685 0.78866428 0.77606171]","[0.88090336 0.86164713 0.89943129 0.87163484 0.83682573 0.88213974
 0.86864001 0.85836416 0.84539026 0.89664662 0.84492791 0.82760811
 0.82988811 0.84036261 0.81704277 0.81375563 0.86515337 0.85940492
 0.84373218 0.86617261 0.8659929  0.88997376]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
NestedUNet,True,close,3,True,0.1,"[2.86232543 2.86022711 2.84990335 2.85447955 2.86456919 2.84582686
 2.81825519 2.8491137  2.83896065 2.86794305 2.86235285 2.86404848
 2.86363792 2.83156538 2.86758733 2.84407711 2.82623577 2.85811615
 2.83702445 2.84403253 2.84530282 2.81744623]","[2.83034897 2.83698344 2.87371683 2.84573722 2.87651634 2.85401726
 2.86406589 2.86729407 2.84640241 2.87377238 2.85638094 2.86911583
 2.87190723 2.87374592 2.872329   2.85834217 2.85658264 2.87157774
 2.84986877 2.86864853 2.84257078 2.84490108]","[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"
