config,max_memory_used_MB,dcgm_avg_GPUTL,dcgm_avg_GRACT,dcgm_avg_SMACT,dcgm_avg_SMOCC,dcgm_avg_FP64A,dcgm_avg_FP32A,dcgm_avg_FP16A,dcgm_avg_TENSO,dcgm_avg_MCUTL,dcgm_avg_DRAMA,dcgm_avg_PCITX,dcgm_avg_PCIRX,dcgm_avg_NVLTX,dcgm_avg_NVLRX,dcgm_avg_POWER,dcgm_avg_TOTEC
LFUNet_UMN_eps8_bs16_dpFalse_k3_opclose,9522,57.56572541382668,0.5586032132424548,0.45352726387536646,0.18406913339824685,0.0,0.0068427458617331596,0.0,0.1982590068159688,26.489776046738072,0.20794401168451732,138603169.81840312,76337981.62025316,0.0,0.0,200.93204819863607,269583637826.92404
LFUNet_UMN_eps8_bs16_dpFalse_k3_opopen,9522,57.4604176784847,0.5569999999999979,0.45215978630403114,0.18385624089363728,0.0,0.0067678484701310946,0.0,0.19740942204953824,26.544439048081593,0.20741622146673075,138968225.41719282,76427220.63817388,0.0,0.0,201.2065648372992,269171943056.45023
LFUNet_UMN_eps8_bs16_dpTrue_k3_opboth,24724,81.11282586027112,0.8027226277372261,0.6329476538060467,0.2620544316996871,0.0,0.30130656934306654,0.0,0.08719520333680962,32.85860271115745,0.25768050052137587,406477609.65005213,2828258255.853389,0.0,0.0,231.21520959332614,265779491732.69467
LFUNet_UMN_eps8_bs16_dpTrue_k3_opclose,24724,81.31619644723094,0.8030363636363641,0.6326307210031363,0.2613807732497393,0.0,0.3009306165099283,0.0,0.08757596656217402,32.78516196447231,0.2571991640543355,541500150.3191223,3946744345.578265,0.0,0.0,230.89694775339623,267996952006.59247
LFUNet_UMN_eps8_bs16_dpTrue_k3_opopen,24724,81.00605049029835,0.8019682870853324,0.6339695389109126,0.26188462340913876,0.0,0.3026407260588366,0.0,0.08755560191946644,32.80283747131233,0.2569017316920501,405562594.6167327,2821891993.040684,0.0,0.0,231.76394658877527,266888350151.39517
NestedUNet_Duke_eps8_bs16_dpFalse_k3_opboth,9436,54.50570342205323,0.522250950570342,0.3478212927756654,0.19462357414448672,0.0,0.022224334600760426,0.0,0.0709505703422054,28.88593155893536,0.22058555133079844,152612559.90874526,90900053.1444867,0.0,0.0,185.1762281368822,263779563361.8365
NestedUNet_Duke_eps8_bs16_dpFalse_k3_opclose,8854,54.20384615384615,0.5113499999999999,0.33574999999999994,0.18477692307692298,0.0,0.021984615384615363,0.0,0.07149615384615383,27.403846153846153,0.21056538461538452,153966279.5076923,91359378.71538462,0.0,0.0,185.62262692307684,263875556511.56924
NestedUNet_Duke_eps8_bs16_dpFalse_k3_opopen,8854,53.809338521400775,0.5165058365758758,0.33501556420233447,0.18413229571984435,0.0,0.022486381322957175,0.0,0.0711517509727626,27.618677042801558,0.21229961089494165,156157820.89883268,92411432.71984436,0.0,0.0,185.85221011673164,263827875691.38522
NestedUNet_Duke_eps8_bs16_dpTrue_k3_opboth,20346,70.64245810055866,0.6918882681564238,0.42829422718808247,0.19751955307262584,0.0,0.17832588454376158,0.0,0.03732029795158286,27.333333333333332,0.21163128491620126,76529553.71880819,51515475.60148976,0.0,0.0,199.7850707635009,263491795660.21228
NestedUNet_Duke_eps8_bs16_dpTrue_k3_opclose,19764,70.17358490566038,0.6924566037735848,0.43049999999999955,0.19628490566037762,0.0,0.1794962264150946,0.0,0.03807735849056603,26.626415094339624,0.2083075471698116,78066362.81320755,51542121.26603773,0.0,0.0,197.46312830188674,263702530169.56415
NestedUNet_Duke_eps8_bs16_dpTrue_k3_opopen,19762,69.92870544090056,0.6857823639774853,0.42491181988742993,0.1934146341463418,0.0,0.17639399624765495,0.0,0.03737335834896808,26.632270168855534,0.20619512195121978,77626927.20825516,51472192.53283302,0.0,0.0,196.76841275797383,263597559981.80112
NestedUNet_UMN_eps8_bs16_dpFalse_k3_opboth,8478,63.602653631284916,0.6237925977653632,0.4155831005586588,0.22703980446927338,0.0,0.027145251396648074,0.0,0.09188477653631262,33.19553072625698,0.2596885474860332,84361329.37639664,110624917.32891062,0.0,0.0,203.04672346368736,262712600363.36172
NestedUNet_UMN_eps8_bs16_dpFalse_k3_opclose,8478,62.93675333801827,0.6217006324666209,0.4116971187631764,0.22410330288123662,0.0,0.027182712579058292,0.0,0.0921644413211524,33.016163035839774,0.2577779339423751,85265774.93464512,110466784.78144765,0.0,0.0,203.95797118763187,263293654050.0021
NestedUNet_UMN_eps8_bs16_dpFalse_k3_opopen,8478,63.059691011235955,0.6206257022471918,0.41079073033707825,0.22364606741572984,0.0,0.027125000000000052,0.0,0.09190379213483127,32.756320224719104,0.2574332865168537,85902567.54634832,110331655.32373595,0.0,0.0,202.84384691011206,263003918085.10745
NestedUNet_UMN_eps8_bs16_dpTrue_k3_opboth,18596,81.02722204001311,0.8007553296162666,0.5222131846507048,0.2368068219088215,0.0,0.2232384388324038,0.0,0.046609708101017326,32.31420137750082,0.2535992128566739,41995022.948835686,59338753.62545097,0.0,0.0,220.3646106920306,260895858842.03082
NestedUNet_UMN_eps8_bs16_dpTrue_k3_opclose,18598,80.7841655716163,0.7985499342969774,0.5198731931668853,0.23518725361366552,0.0,0.22231373193166926,0.0,0.04647339027595331,32.33869908015769,0.2521458607095917,42264412.91885677,59189029.89323259,0.0,0.0,218.62288534822636,262233251930.92346
NestedUNet_UMN_eps8_bs16_dpTrue_k3_opopen,18596,81.09724047306176,0.8000886990801596,0.5218311432325878,0.23584822601839664,0.0,0.2223896189224703,0.0,0.046498685939553835,32.15867279894875,0.25233081471747704,41822700.54106439,59009382.50229961,0.0,0.0,220.145992772668,261564279345.10645
unet_Duke_eps8_bs16_dpFalse_k3_opboth,5000,31.371069182389938,0.28299371069182394,0.21221383647798744,0.12544654088050322,0.0,0.01881132075471697,0.0,0.029176100628930803,19.641509433962263,0.15009433962264157,223410776.86792454,139227919.03144655,0.0,0.0,154.94933962264145,265166803999.90567
